SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,TotalTimeAwake,TotalMinutesLight,TotalMinutesDeep,TotalMinutesREM
11/23/2017 12:00:00 AM,2,348,408,55,160,68,58
11/24/2017 12:00:00 AM,1,576,660,84,330,101,145
11/25/2017 12:00:00 AM,1,516,613,97,351,94,71
11/26/2017 12:00:00 AM,1,515,607,92,345,81,89
11/27/2017 12:00:00 AM,1,436,496,60,222,121,93
11/28/2017 12:00:00 AM,1,247,304,57,127,64,56
11/29/2017 12:00:00 AM,1,431,523,92,242,90,99
11/30/2017 12:00:00 AM,1,442,521,79,255,104,83
12/1/2017 12:00:00 AM,1,367,444,77,209,80,78
12/2/2017 12:00:00 AM,1,491,546,55,258,91,142
12/3/2017 12:00:00 AM,1,447,545,98,292,83,72
12/4/2017 12:00:00 AM,1,459,519,60,255,99,105
12/5/2017 12:00:00 AM,1,418,502,84,261,97,60
12/6/2017 12:00:00 AM,1,318,365,47,165,75,78
12/7/2017 12:00:00 AM,1,446,513,67,232,109,105
12/8/2017 12:00:00 AM,1,474,560,86,298,97,79
12/9/2017 12:00:00 AM,1,445,527,82,244,101,100
12/10/2017 12:00:00 AM,1,460,549,89,279,120,61
12/11/2017 12:00:00 AM,1,371,459,88,185,129,57
12/12/2017 12:00:00 AM,1,416,525,109,251,105,60
12/13/2017 12:00:00 AM,1,407,463,56,217,88,102
12/14/2017 12:00:00 AM,1,422,498,76,246,68,108
12/15/2017 12:00:00 AM,1,404,483,79,260,98,46
12/16/2017 12:00:00 AM,1,486,573,87,285,106,95
12/17/2017 12:00:00 AM,1,426,497,71,265,79,82
12/18/2017 12:00:00 AM,1,401,484,83,261,84,56
12/19/2017 12:00:00 AM,1,233,295,62,147,65,21
12/20/2017 12:00:00 AM,1,412,490,78,264,85,63
12/21/2017 12:00:00 AM,1,463,538,75,268,100,95
12/22/2017 12:00:00 AM,1,392,453,61,203,91,98
12/23/2017 12:00:00 AM,1,373,453,80,203,87,83
12/24/2017 12:00:00 AM,1,487,587,100,247,124,116
12/25/2017 12:00:00 AM,1,361,431,70,237,63,61
12/26/2017 12:00:00 AM,1,498,573,75,281,116,101
12/27/2017 12:00:00 AM,1,429,506,77,267,97,65
12/28/2017 12:00:00 AM,1,460,545,85,229,121,110
12/29/2017 12:00:00 AM,1,438,508,70,244,87,107
12/30/2017 12:00:00 AM,1,528,609,81,321,83,124
12/31/2017 12:00:00 AM,1,461,536,75,283,66,112
1/1/2018 12:00:00 AM,2,391,426,30,231,63,41
1/2/2018 12:00:00 AM,1,432,491,59,288,64,80
1/3/2018 12:00:00 AM,1,395,462,67,223,76,96
1/4/2018 12:00:00 AM,1,393,456,63,246,64,83
1/5/2018 12:00:00 AM,1,349,419,70,189,75,85
1/6/2018 12:00:00 AM,1,446,539,93,245,116,85
1/7/2018 12:00:00 AM,2,576,656,80,267,106,121
1/8/2018 12:00:00 AM,1,395,474,79,224,114,57
1/9/2018 12:00:00 AM,1,382,459,77,204,106,72
1/10/2018 12:00:00 AM,1,192,250,58,135,39,18
1/11/2018 12:00:00 AM,1,361,421,60,208,81,72
1/12/2018 12:00:00 AM,1,401,455,54,225,91,85
1/13/2018 12:00:00 AM,1,388,439,51,202,106,80
1/14/2018 12:00:00 AM,1,473,549,76,310,68,95
1/15/2018 12:00:00 AM,2,561,636,62,279,75,112
1/16/2018 12:00:00 AM,1,405,463,58,239,93,73
1/17/2018 12:00:00 AM,1,433,491,58,256,83,94
1/18/2018 12:00:00 AM,1,410,484,74,252,75,83
1/19/2018 12:00:00 AM,1,452,533,81,223,97,132
1/20/2018 12:00:00 AM,0,0,0,0,0,0,0
1/21/2018 12:00:00 AM,1,476,570,94,250,117,109
1/22/2018 12:00:00 AM,1,267,325,58,132,78,57
1/23/2018 12:00:00 AM,1,402,484,82,250,89,63
1/24/2018 12:00:00 AM,1,431,506,75,259,75,97
1/25/2018 12:00:00 AM,1,422,496,74,257,90,75
1/26/2018 12:00:00 AM,1,284,343,59,196,45,43
1/27/2018 12:00:00 AM,1,396,466,70,187,124,85
1/28/2018 12:00:00 AM,1,424,489,65,237,82,105
1/29/2018 12:00:00 AM,1,389,447,58,224,100,65
1/30/2018 12:00:00 AM,1,377,445,68,230,100,47
1/31/2018 12:00:00 AM,1,418,477,59,199,111,108
