Date,WeightKg,WeightPounds,Fat,BMI,IsManualReport,LogId
11/1/2013 8:34:14 AM,75.5,166.449007949675,11.5,25.2800006866455,False,1383294854000
11/8/2013 8:45:59 AM,75,165.34669663875,11.1000003814697,25.1200008392334,False,1383900359000
11/14/2013 8:38:52 AM,75.4000015258789,166.228549051477,11.8000001907349,25.2700004577637,False,1384418332000
11/15/2013 9:27:04 AM,75.3000030517578,166.008090153279,11.8000001907349,25.2299995422363,False,1384507624000
11/16/2013 10:20:08 AM,75.6999969482422,166.889925746071,11.8999996185303,25.3700008392334,False,1384597208000
11/18/2013 8:11:28 AM,75.5999984741211,166.669466847873,12.5,25.3400001525879,False,1384762288000
11/19/2013 7:46:20 AM,75.4000015258789,166.228549051477,12.5,25.25,False,1384847180000
11/23/2013 6:14:07 AM,75.0999984741211,165.567155536948,11.3999996185303,25.1700000762939,False,1385187247000
11/24/2013 7:40:45 AM,74.8000030517578,164.905778842354,11.6000003814697,25.0499992370605,False,1385278845000
11/25/2013 7:57:41 AM,75.4000015258789,166.228549051477,10.6999998092651,25.25,False,1385366261000
12/1/2013 9:36:48 AM,76.5999984741211,168.874089469723,11.6000003814697,25.6499996185303,False,1385890608000
12/2/2013 8:36:38 AM,75.6999969482422,166.889925746071,12.6000003814697,25.3500003814697,False,1385973398000
12/3/2013 7:39:08 AM,75.3000030517578,166.008090153279,12.3000001907349,25.2199993133545,False,1386056348000
12/4/2013 9:39:58 AM,74.5999984741211,164.464844226023,11.8000001907349,25,False,1386149998000
12/5/2013 8:59:50 AM,75.4000015258789,166.228549051477,12.1000003814697,25.25,False,1386233990000
12/6/2013 8:40:21 AM,74.4000015258789,164.023926429627,12.5,24.9300003051758,False,1386319221000
12/9/2013 8:38:51 AM,75.5999984741211,166.669466847873,10.6000003814697,25.3199996948242,False,1386578331000
12/10/2013 6:21:09 AM,74.5999984741211,164.464844226023,11.6999998092651,25,False,1386656469000
12/13/2013 9:22:05 AM,74.5999984741211,164.464844226023,10.8000001907349,24.9799995422363,False,1386926525000
12/14/2013 9:46:40 AM,74.9000015258789,165.126237740552,10.6000003814697,25.0799999237061,False,1387014400000
12/15/2013 7:17:16 AM,74.8000030517578,164.905778842354,11.8999996185303,25.0499992370605,False,1387091836000
12/16/2013 8:18:21 AM,74.8000030517578,164.905778842354,11.1999998092651,25.0499992370605,False,1387181901000
12/19/2013 9:27:53 AM,74.6999969482422,164.685303124221,10.6000003814697,25.0200004577637,False,1387445273000
12/20/2013 9:36:34 AM,74.5999984741211,164.464844226023,11.3999996185303,24.9799995422363,False,1387532194000
12/21/2013 10:45:24 AM,74.5999984741211,164.464844226023,11.3000001907349,24.9799995422363,False,1387622724000
12/22/2013 11:04:08 AM,74.8000030517578,164.905778842354,10.3999996185303,25.0499992370605,False,1387710248000
12/23/2013 8:20:30 AM,74.8000030517578,164.905778842354,11.5,25.0699996948242,False,1387786830000
12/27/2013 12:00:48 PM,75.0999984741211,165.567155536948,12.1999998092651,25.1700000762939,False,1388145648000
12/28/2013 9:15:28 AM,75.0999984741211,165.567155536948,12.1000003814697,25.1499996185303,False,1388222128000
12/29/2013 9:01:32 AM,75.5999984741211,166.669466847873,11.3999996185303,25.3199996948242,False,1388307692000
12/29/2013 2:52:20 PM,73.5999984741211,162.260221604173,11.3000001907349,24.6700000762939,False,1388328740000
12/30/2013 8:20:54 AM,73.6999969482422,162.480680502371,11.8999996185303,24.7000007629395,False,1388391654000
12/31/2013 9:20:32 AM,74,163.1420740169,11,24.7999992370605,False,1388481632000
1/6/2014 9:35:52 AM,74.5,164.244385327825,13,24.9500007629395,False,1389000952000
1/8/2014 9:58:19 AM,73.5999984741211,162.260221604173,12,24.6700000762939,False,1389175099000
1/9/2014 8:13:18 AM,74,163.1420740169,11.3000001907349,24.7800006866455,False,1389255198000
1/10/2014 9:13:34 AM,74.4000015258789,164.023926429627,10.8999996185303,24.9300003051758,False,1389345214000
1/14/2014 8:30:20 AM,73.5,162.039762705975,10.8999996185303,24.6299991607666,False,1389688220000
1/18/2014 9:20:41 AM,73.9000015258789,162.921615118702,11.6000003814697,24.7700004577637,False,1390036841000
1/19/2014 9:22:40 AM,73.5999984741211,162.260221604173,12.3000001907349,24.6499996185303,False,1390123360000
1/20/2014 8:34:37 AM,74,163.1420740169,10.8999996185303,24.7800006866455,False,1390206877000
1/21/2014 8:50:01 AM,73.9000015258789,162.921615118702,11,24.7700004577637,False,1390294201000
1/22/2014 10:13:35 AM,74,163.1420740169,11,24.7800006866455,False,1390385615000
1/23/2014 9:45:13 AM,74.0999984741211,163.362532915098,10.6000003814697,24.8299999237061,False,1390470313000
1/25/2014 8:38:19 AM,74.0999984741211,163.362532915098,11.3000001907349,24.8299999237061,False,1390639099000
1/28/2014 9:04:22 AM,74.0999984741211,163.362532915098,11.3000001907349,24.8299999237061,False,1390899862000
2/4/2014 8:47:55 AM,74.5,164.244385327825,11.1999998092651,24.9699993133545,False,1391503675000
2/6/2014 9:15:53 AM,73.9000015258789,162.921615118702,10.8000001907349,24.75,False,1391678153000
2/7/2014 8:14:48 AM,73.8000030517578,162.701156220504,11.3999996185303,24.7199993133545,False,1391760888000
2/8/2014 9:57:30 AM,74,163.1420740169,11.6999998092651,24.7999992370605,False,1391853450000
2/12/2014 9:15:24 AM,70.3000030517578,154.984977044029,,23.5400009155273,False,1392196524000
2/17/2014 7:25:05 AM,74.9000015258789,165.126237740552,12,25.1000003814697,False,1392621905000
