Date,StartTime,Duration,Activity,ActivityType,LogType,Steps,Distance,ElevationGain,Calories,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,AverageHeartRate,OutOfRangeHeartRateMinutes,FatBurnHeartRateMinutes,CardioHeartRateMinutes,PeakHeartRateMinutes
5/29/2017,9:51:18,1075000,Walk,90013,auto_detected,1563,0,18.288,136,0,3,4,11,84,11,2,2,0
5/30/2017,18:50:25,3511000,Run,90009,tracker,9156,10.012449,37.795,754,0,0,0,58,145,0,1,57,0
5/31/2017,8:15:09,1280000,Walk,90013,auto_detected,1314,0,6.096,116,3,9,3,6,84,17,4,0,0
5/31/2017,18:56:47,3300000,Run,90009,tracker,8855,9.674789,46.634,710,0,0,0,55,145,0,1,53,1
6/1/2017,8:10:19,922000,Walk,90013,auto_detected,1324,0,6.096,104,1,2,1,11,78,10,2,0,0
6/1/2017,17:46:26,2416000,Run,90009,tracker,6079,6.862809,31.09,499,0,0,0,40,142,0,1,38,0
6/1/2017,18:50:29,1332000,Walk,90013,auto_detected,1798,0,0,141,0,4,9,9,91,14,8,0,0
6/1/2017,21:30:04,1177000,Walk,90013,auto_detected,1569,0,0,163,0,1,5,13,112,1,11,4,1
6/2/2017,6:37:18,3623000,Run,90009,tracker,9301,10.213859,41.453,754,0,0,1,59,143,1,3,56,0
6/2/2017,21:57:30,1333000,Walk,90013,auto_detected,2127,0,24.384,188,0,2,0,20,104,5,12,2,1
6/3/2017,7:18:03,5254000,Run,90009,tracker,14066,16.223499,138.684,1176,0,0,0,87,150,1,2,54,30
6/3/2017,10:25:04,1280000,Walk,90013,auto_detected,1833,0,18.288,146,0,14,2,5,83,15,6,0,0
6/3/2017,19:13:01,2547000,Run,90009,tracker,5654,5.849749,15.85,463,1,1,1,39,128,3,8,32,0
6/3/2017,20:47:09,1228000,Walk,90013,auto_detected,1465,0,0,130,1,19,0,0,92,11,8,0,0
6/4/2017,8:48:13,2918000,Walk,90013,auto_detected,2986,0,0,276,10,22,6,10,82,35,6,0,4
6/4/2017,12:50:33,1536000,Walk,90013,auto_detected,1955,0,0,188,2,4,2,17,98,12,7,3,2
6/4/2017,15:43:47,1844000,Walk,90013,auto_detected,2744,0,0,223,0,2,5,23,95,7,12,1,0
6/5/2017,15:47:39,1024000,Walk,90013,auto_detected,1283,0,6.096,114,2,15,0,0,91,8,7,1,0
6/5/2017,18:52:10,3194000,Run,90009,tracker,8642,9.596029,61.265,662,0,0,0,53,140,1,3,49,1
6/6/2017,7:18:39,1330000,Walk,90013,auto_detected,2333,0,6.096,205,0,1,1,20,104,7,6,1,5
6/6/2017,20:05:24,3198000,Run,90009,tracker,7630,7.867339,22.25,649,0,1,3,49,143,1,11,23,19
6/7/2017,15:08:24,1844000,Walk,90013,auto_detected,2265,0,0,190,0,18,3,9,83,22,6,1,0
6/8/2017,18:38:38,3372000,Run,90009,tracker,9025,9.673279,82.296,688,0,0,0,56,139,0,4,52,0
6/8/2017,20:24:33,1794000,Walk,90013,auto_detected,2196,0,9.144,188,0,12,4,14,88,21,9,0,0
6/9/2017,18:11:16,3372000,Treadmill,20049,tracker,8615,9.86835,6.096,656,1,0,0,52,144,0,1,37,14
6/9/2017,18:34:34,3193000,Run,90009,manual,8270,9.817,3.048,699,0,0,0,53,146,2,15,21,14
6/10/2017,6:38:17,2890000,Run,90009,tracker,7481,7.57268,39.624,557,0,0,1,47,134,0,4,44,0
6/10/2017,18:15:45,3482000,Walk,90013,auto_detected,3792,0,12.192,332,9,16,8,25,91,32,26,0,0
6/11/2017,15:21:02,5490000,Run,90009,tracker,15199,16.718069,142.951,1177,0,0,0,91,146,0,2,89,1
6/12/2017,17:02:24,1023000,Walk,90013,auto_detected,1496,0,15.24,119,1,3,1,12,86,12,5,0,0
6/12/2017,21:27:46,3738000,Walk,90013,auto_detected,5970,0,48.768,437,2,9,10,41,88,39,23,1,0
6/13/2017,18:25:39,4310000,Run,90009,tracker,11108,11.95339,188.062,945,0,0,0,72,146,0,2,62,9
6/14/2017,9:25:52,1075000,Walk,90013,auto_detected,1227,0,6.096,101,0,17,0,0,79,16,2,0,0
6/14/2017,19:48:22,1899000,Run,90009,tracker,4855,5.054109,54.864,369,0,0,0,32,134,0,2,29,0
6/15/2017,7:20:52,1536000,Walk,90013,auto_detected,2204,0,3.048,182,1,8,1,15,85,13,4,1,0
6/15/2017,21:55:50,1648000,Walk,90013,tracker,2903,2.27375,24.384,261,0,0,2,26,109,2,19,4,2
6/16/2017,8:07:23,1178000,Walk,90013,auto_detected,2028,0,9.144,229,0,0,2,17,158,1,1,1,12
6/16/2017,19:31:48,3900000,Run,90009,tracker,10689,11.941359,70.104,823,0,0,0,65,143,0,5,54,6
6/17/2017,7:14:06,3916000,Run,90009,tracker,10772,12.8851,42.672,917,0,0,0,65,159,0,1,17,48
6/17/2017,9:57:55,1330000,Walk,90013,auto_detected,1880,0,15.24,146,0,22,0,0,84,17,6,0,0
6/18/2017,9:07:08,1383000,Walk,90013,auto_detected,1962,0,15.24,157,2,11,1,9,90,12,10,0,0
6/18/2017,16:42:12,2250000,Run,90009,tracker,6087,6.58794,44.907,457,0,0,0,37,144,0,1,36,0
6/18/2017,18:29:28,1333000,Walk,90013,auto_detected,2029,0,0,192,1,0,4,17,120,0,8,2,3
6/18/2017,22:22:27,1229000,Walk,90013,auto_detected,1794,0,0,138,0,3,3,14,92,7,12,0,0
6/19/2017,21:35:57,1382000,Walk,90013,auto_detected,2365,0,18.288,183,0,1,3,19,99,7,14,0,0
6/20/2017,7:42:03,3144000,Run,90009,tracker,8321,8.77984,70.205,613,0,0,0,51,136,1,2,47,0
6/20/2017,22:59:57,1333000,Walk,90013,auto_detected,1438,0,0,122,2,20,0,0,76,21,1,0,0
6/21/2017,17:03:02,1178000,Walk,90013,auto_detected,1354,0,45.72,128,1,2,9,7,93,9,10,0,0
6/22/2017,17:40:45,1434000,Walk,90013,auto_detected,1534,0,12.192,134,5,18,0,0,82,15,8,0,0
6/24/2017,9:34:43,2189000,Run,90009,tracker,5814,6.4569,33.528,460,0,0,0,37,141,1,1,33,0
6/24/2017,11:55:13,924000,Walk,90013,auto_detected,1358,0,0,105,0,3,2,10,90,7,6,1,0
6/25/2017,15:07:41,5889000,Walk,90013,auto_detected,7600,0,42.672,815,12,10,8,68,109,32,21,11,20
6/25/2017,17:06:19,1177000,Walk,90013,auto_detected,1623,0,0,137,1,2,2,14,89,5,7,0,0
6/25/2017,18:08:36,1997000,Walk,90013,auto_detected,2529,0,0,247,1,3,10,19,104,11,16,6,0
6/26/2017,8:18:57,2362000,Run,90009,tracker,6423,7.12037,48.768,483,0,0,0,39,139,1,1,37,0
6/26/2017,19:12:58,922000,Walk,90013,auto_detected,1422,0,3.048,126,0,2,1,13,110,2,14,0,0
6/27/2017,8:36:57,1124000,Walk,90013,auto_detected,1844,0,18.288,165,0,2,1,16,102,11,3,1,3
6/27/2017,18:31:19,2778000,Run,90009,tracker,7547,8.403059,61.976,570,0,0,0,45,143,0,2,41,2
6/28/2017,18:44:57,4148000,Run,90009,tracker,11605,13.098809,54.864,940,0,0,0,69,157,0,1,28,39
6/29/2017,12:29:05,973000,Walk,90013,auto_detected,1533,0,6.096,156,2,0,0,14,131,2,3,2,3
6/29/2017,17:58:08,2060000,Run,90009,tracker,5684,6.448509,33.528,436,0,0,0,34,147,0,1,32,2
6/30/2017,7:40:14,1075000,Walk,90013,auto_detected,1714,0,6.096,123,0,1,4,12,86,15,3,0,0
6/30/2017,18:34:14,2899000,Run,90009,tracker,7825,8.84697,56.997,576,0,0,0,46,145,1,1,39,6
7/1/2017,17:02:07,2265000,Run,90009,tracker,6039,6.75733,82.296,440,0,0,0,36,142,1,1,34,1
7/2/2017,11:08:14,4297000,Run,90009,tracker,11813,13.471439,100.177,956,0,0,0,70,156,0,1,32,37
7/2/2017,17:55:31,1177000,Walk,90013,auto_detected,1434,0,36.576,152,1,6,1,11,110,2,11,5,0
7/3/2017,8:05:27,2304000,Walk,90013,auto_detected,3464,0,30.48,358,4,11,1,22,121,8,12,4,13
7/3/2017,11:07:12,1741000,Walk,90013,auto_detected,2957,0,27.432,218,0,2,3,24,99,3,24,0,0
7/3/2017,22:13:13,2800000,Run,90009,tracker,4640,4.90445,12.192,337,0,0,0,30,133,1,4,24,0
7/4/2017,6:50:31,6139000,Run,90009,tracker,15010,14.50902,519.887,1196,0,0,0,93,150,0,1,62,29
7/4/2017,15:09:06,1434000,Walk,90013,auto_detected,2427,0,9.144,164,0,4,3,16,92,13,10,0,0
7/4/2017,17:14:34,1229000,Walk,90013,auto_detected,1900,0,36.576,149,0,8,4,8,92,12,9,0,0
7/5/2017,7:16:50,1638000,Walk,90013,auto_detected,2421,0,15.24,198,1,5,3,18,84,9,3,1,1
7/5/2017,17:41:11,1957000,Run,90009,tracker,5173,5.2759,28.956,347,0,0,0,31,133,0,2,29,0
7/6/2017,17:49:40,4834000,Run,90009,tracker,13083,14.7337,69.9,992,0,0,0,79,144,0,2,76,0
7/7/2017,7:32:11,1127000,Walk,90013,auto_detected,1802,0,3.048,182,0,0,1,17,126,1,5,3,6
7/7/2017,19:25:16,3869000,Run,90009,tracker,10128,11.775049,48.463,808,0,0,0,60,155,0,4,27,30
7/8/2017,19:46:25,2191000,Run,90009,tracker,5553,5.94269,49.225,386,0,0,0,33,140,0,2,31,0
7/9/2017,8:29:23,1945000,Walk,90013,auto_detected,2886,0,21.336,236,3,3,5,21,96,10,17,0,3
7/9/2017,17:26:55,2903000,Run,90009,tracker,7230,7.807469,53.543,548,0,0,0,44,144,0,1,43,0
7/10/2017,14:06:54,3379000,Walk,90013,auto_detected,5014,0,9.144,519,4,5,4,43,121,14,6,6,19
7/10/2017,16:26:51,973000,Walk,90013,auto_detected,1239,0,6.096,116,1,15,0,0,89,8,4,1,0
7/10/2017,22:13:31,2677000,Run,90009,tracker,4469,5.16869,0,309,2,0,0,25,135,2,2,23,0
7/11/2017,7:46:46,1177000,Walk,90013,auto_detected,1739,0,15.24,132,0,1,7,11,81,17,3,0,0
7/11/2017,19:57:02,4199000,Run,90009,tracker,8096,9.02793,15.24,735,1,0,0,57,150,1,2,31,24
7/12/2017,13:54:59,1588000,Walk,90013,auto_detected,1745,0,9.144,145,5,13,0,8,80,19,8,0,0
7/12/2017,17:51:39,3879000,Run,90009,tracker,10364,11.32541,79.248,774,0,0,0,62,145,0,1,60,1
7/12/2017,21:40:55,1586000,Walk,90013,auto_detected,1600,0,12.192,149,4,8,8,6,93,13,14,0,0
7/13/2017,8:09:49,1229000,Walk,90013,auto_detected,1719,0,15.24,132,1,19,0,0,81,13,4,0,0
7/13/2017,18:36:48,2294000,Run,90009,tracker,6073,6.461239,39.624,438,1,0,0,36,138,0,2,35,0
7/14/2017,12:57:50,1075000,Walk,90013,auto_detected,1909,0,12.192,146,0,1,1,16,102,4,12,0,0
7/14/2017,18:09:16,2062000,Run,90009,tracker,5504,6.06153,57.454,406,0,0,0,34,139,0,2,31,0
7/15/2017,7:11:20,5345000,Run,90009,tracker,13233,16.15608,5.537,1066,0,0,1,77,155,1,1,32,44
7/15/2017,20:23:42,1280000,Walk,90013,auto_detected,2103,0,0,191,0,0,3,18,109,3,7,4,2
7/15/2017,22:48:46,1332000,Walk,90013,auto_detected,2168,0,30.48,176,0,2,0,20,86,9,8,0,0
7/16/2017,10:07:26,1331000,Walk,90013,auto_detected,1846,0,18.288,146,2,3,3,14,84,16,3,0,0
7/16/2017,16:56:15,3977000,Run,90009,tracker,10494,11.50657,77.724,792,0,0,0,63,143,1,3,59,0
7/17/2017,22:12:34,2560000,Run,90009,tracker,4799,5.25131,9.144,325,2,0,0,27,135,1,2,26,0
7/18/2017,20:00:36,1457000,Run,90009,tracker,1748,1.81423,0,131,0,0,0,11,133,0,2,7,1
7/18/2017,20:25:20,2607000,Run,90009,tracker,6209,6.80112,9.144,566,0,0,0,42,158,0,0,20,21
7/19/2017,7:04:11,1331000,Walk,90013,auto_detected,1754,0,18.288,139,2,20,0,0,79,12,2,0,0
7/19/2017,12:33:34,1280000,Walk,90013,auto_detected,1993,0,9.144,149,0,2,3,16,87,9,7,0,0
7/19/2017,17:48:41,2189000,Run,90009,tracker,5960,6.45826,45.72,423,0,0,0,36,139,1,1,35,0
7/20/2017,16:10:45,1485000,Walk,90013,auto_detected,1951,0,9.144,145,0,14,1,9,77,23,2,0,0
7/20/2017,17:16:27,2919000,Walk,90013,auto_detected,3112,0,3.048,247,12,20,3,13,74,42,6,0,0
7/20/2017,19:19:43,5465000,Run,90009,tracker,14615,16.3798,79.248,1095,0,0,0,88,144,0,1,86,0
7/21/2017,18:44:59,3269000,Run,90009,tracker,8609,10.182569,82.346,710,0,0,0,53,154,0,1,21,28
7/21/2017,20:23:46,1486000,Walk,90013,auto_detected,1939,0,3.048,177,0,5,3,16,100,6,10,3,0
7/22/2017,9:19:34,5506000,Run,90009,tracker,13841,16.14992,115.773,1100,0,0,0,84,151,0,1,52,29
7/22/2017,15:46:01,923000,Walk,90013,auto_detected,1405,0,0,111,0,2,0,13,97,4,7,0,0
7/22/2017,19:33:52,1536000,Walk,90013,auto_detected,2368,0,3.048,183,0,2,4,20,92,11,11,0,0
7/23/2017,18:39:23,2581000,Run,90009,tracker,6618,6.71035,57.912,486,0,0,0,42,135,1,4,36,0
7/24/2017,18:27:06,3648000,Bike,90001,tracker,0,22.81265,45.72,471,0,2,9,48,114,4,49,7,0
7/24/2017,22:12:54,193000,Run,90009,tracker,427,0.435359,0,31,0,0,0,3,114,0,2,1,0
7/24/2017,22:16:30,144000,Run,90009,tracker,396,0.470839,0,23,0,0,0,2,138,0,0,2,0
7/24/2017,22:19:06,2564000,Run,90009,tracker,4367,4.936659,39.217,321,0,0,0,27,135,1,3,24,0
7/25/2017,19:56:06,3378000,Run,90009,tracker,6250,7.05173,0,469,1,0,0,36,150,0,2,20,15
7/26/2017,14:19:16,1177000,Walk,90013,auto_detected,1467,0,12.192,116,3,9,2,5,87,10,9,0,0
7/26/2017,18:27:06,4444000,Run,90009,tracker,11974,13.559709,104.851,918,0,0,0,72,147,1,1,67,4
7/27/2017,7:41:12,1126000,Walk,90013,auto_detected,1689,0,12.192,128,0,2,4,12,92,5,8,0,0
7/27/2017,19:38:35,2226000,Run,90009,tracker,5891,6.436819,47.244,408,1,0,0,35,135,0,2,34,0
7/28/2017,18:56:38,4544000,Run,90009,tracker,11970,13.812809,89.611,883,1,0,0,70,143,1,4,65,2
7/29/2017,10:50:01,3054000,Run,90009,tracker,8063,8.707599,71.323,588,1,0,0,48,141,0,3,44,2
7/29/2017,14:52:41,2918000,Walk,90013,auto_detected,3021,0,3.048,294,3,16,12,17,88,25,19,1,0
7/29/2017,22:46:15,1436000,Sport,15000,auto_detected,1545,0,0,148,0,11,6,7,92,11,13,0,0
7/30/2017,16:48:38,5341000,Run,90009,tracker,14813,17.736039,98.45,1135,0,0,0,87,150,1,1,54,31
7/31/2017,22:13:49,3004000,Run,90009,tracker,5753,6.593079,46.634,418,1,0,0,34,137,1,2,32,0
8/1/2017,19:59:15,4574000,Run,90009,tracker,5903,8.227589,21.641,449,0,0,0,34,153,0,1,17,15
8/2/2017,8:00:33,1331000,Walk,90013,auto_detected,1759,0,15.24,206,2,10,1,9,122,5,4,0,9
8/2/2017,18:05:18,4788000,Run,90009,tracker,12544,13.52187,68.885,896,0,0,0,76,136,1,7,67,0
8/3/2017,12:57:06,973000,Walk,90013,auto_detected,1067,0,3.048,99,2,1,5,8,91,7,9,0,0
8/3/2017,16:11:40,1946000,Walk,90013,auto_detected,2924,0,0,212,0,2,15,15,81,26,5,0,0
8/3/2017,19:22:02,2976000,Run,90009,tracker,7966,8.595909,61.57,576,0,0,0,48,138,1,2,46,0
8/4/2017,8:02:16,1230000,Walk,90013,auto_detected,1524,0,15.24,133,4,16,0,0,80,12,5,2,0
8/4/2017,18:27:54,4105000,Run,90009,tracker,11371,13.649609,100.889,901,0,0,0,67,153,1,3,22,41
8/5/2017,6:07:43,6165000,Run,90009,tracker,16527,16.167609,195.377,1310,0,0,0,100,152,1,1,60,38
8/7/2017,8:54:48,1075000,Walk,90013,auto_detected,1758,0,3.048,211,0,0,1,17,146,1,3,1,12
8/7/2017,22:11:48,3000,Weights,2131,tracker,0,0,0,0,0,0,0,0,57,0,0,0,0
8/7/2017,22:11:58,2952000,Run,90009,tracker,5156,5.499439,44.806,383,0,0,0,34,126,2,8,21,0
8/8/2017,19:53:10,4881000,Run,90009,tracker,6467,8.76111,23.165,492,1,0,0,35,149,1,2,16,18
8/10/2017,16:14:39,1388000,Walk,90013,auto_detected,2237,0,6.096,218,1,0,0,22,119,2,12,3,4
8/10/2017,20:00:00,1382000,Walk,90013,auto_detected,2183,0,6.096,194,0,0,1,22,106,2,15,2,0
8/11/2017,8:06:11,1024000,Walk,90013,auto_detected,1728,0,3.048,152,0,0,1,16,113,1,3,2,1
8/11/2017,18:51:54,1606000,Run,90009,tracker,3971,4.259349,46.025,292,0,2,0,24,130,1,2,21,0
8/12/2017,17:38:47,2715000,Run,90009,tracker,7300,8.194949,64.922,492,1,0,0,42,136,0,2,41,0
8/13/2017,13:12:35,3177000,Run,90009,tracker,8142,9.085979,66.598,574,0,0,0,48,139,1,3,44,0
8/13/2017,15:28:15,973000,Walk,90013,auto_detected,1427,0,0,154,1,0,1,14,134,0,2,9,0
8/14/2017,21:22:39,6293000,Run,90009,tracker,10053,11.27588,128.93,760,0,0,0,63,136,2,5,54,1
8/15/2017,19:48:38,1629000,Run,90009,tracker,2060,2.42419,3.048,150,0,0,1,12,132,1,2,9,2
8/15/2017,20:19:57,2580000,Run,90009,tracker,4347,5.6651,19.558,415,0,0,0,31,154,0,1,17,13
8/16/2017,11:00:46,1484000,Walk,90013,auto_detected,2400,0,9.144,170,1,0,7,16,80,22,3,0,0
8/16/2017,18:56:20,5014000,Run,90009,tracker,13488,15.26713,79.248,980,0,0,0,81,142,0,1,80,0
8/17/2017,8:42:05,1281000,Walk,90013,auto_detected,2059,0,9.144,151,0,2,3,16,89,8,10,0,0
8/18/2017,8:18:39,1280000,Walk,90013,auto_detected,1862,0,18.288,145,2,9,2,8,80,11,1,0,1
8/18/2017,18:44:58,3545000,Run,90009,tracker,9755,11.575229,82.804,766,0,0,0,58,152,0,3,26,28
8/19/2017,8:04:35,1690000,Walk,90013,auto_detected,2635,0,27.432,190,1,2,10,15,79,20,5,0,0
8/19/2017,10:46:43,1434000,Walk,90013,auto_detected,1692,0,0,142,1,9,3,10,90,13,11,0,0
8/19/2017,21:15:38,1997000,Walk,90013,auto_detected,2229,0,12.192,185,6,2,8,17,85,21,12,0,0
8/20/2017,8:48:33,1792000,Walk,90013,auto_detected,2447,0,21.336,197,0,5,8,17,88,18,12,0,0
8/21/2017,21:31:52,1382000,Walk,90013,auto_detected,2368,0,15.24,265,0,1,0,22,145,1,2,3,14
8/22/2017,8:39:10,1178000,Walk,90013,auto_detected,1695,0,6.096,139,1,2,2,14,81,8,4,2,0
8/22/2017,19:48:49,566000,Run,90009,tracker,1404,1.64617,3.048,107,0,0,0,9,128,1,0,7,0
8/22/2017,20:17:25,2806000,Run,90009,tracker,5720,6.87122,18.288,613,0,0,0,46,159,0,1,16,27
8/23/2017,8:25:58,1433000,Walk,90013,auto_detected,1924,0,15.24,150,0,23,0,0,80,17,3,0,0
8/23/2017,18:35:12,2989000,Run,90009,tracker,7674,8.682289,57.912,531,0,0,0,46,135,0,1,45,0
8/24/2017,20:24:03,2150000,Walk,90013,auto_detected,3446,0,3.048,272,0,1,2,32,98,7,16,1,0
8/25/2017,10:28:52,1023000,Walk,90013,auto_detected,1568,0,3.048,115,1,1,1,14,83,7,6,0,0
8/25/2017,15:24:27,2261000,Run,90009,tracker,5706,8.66294,3.657,457,0,0,0,33,162,0,1,1,31
8/26/2017,0:19:03,2515000,Run,90009,tracker,7262,9.76303,21.336,603,0,0,0,41,166,0,0,1,40
8/26/2017,9:17:27,2367000,Run,90009,tracker,6915,9.18346,67.056,556,0,0,0,39,164,0,0,1,38
8/26/2017,15:40:02,2508000,Walk,90013,auto_detected,2546,0,0,219,7,24,2,8,81,23,14,0,0
8/27/2017,10:43:23,1075000,Walk,90013,auto_detected,1734,0,0,122,0,1,1,15,80,13,4,0,0
8/27/2017,11:33:45,1125000,Walk,90013,auto_detected,1814,0,3.048,129,0,0,3,15,76,18,0,0,0
8/28/2017,11:25:39,1431000,Walk,90013,auto_detected,2163,0,0,167,0,3,2,18,83,9,2,0,0
8/29/2017,8:00:24,1331000,Walk,90013,auto_detected,1692,0,15.24,142,4,18,0,0,86,12,5,0,0
8/30/2017,19:08:09,1729000,Run,90009,tracker,4568,5.041869,50.85,332,0,0,0,27,137,0,1,27,0
8/31/2017,13:45:11,1434000,Walk,90013,auto_detected,1686,0,0,137,0,23,0,0,75,16,3,0,0
9/1/2017,8:16:14,1126000,Walk,90013,auto_detected,1758,0,6.096,150,1,0,2,15,94,3,6,2,1
9/1/2017,18:54:51,2103000,Run,90009,tracker,5018,5.502559,54.864,355,0,0,0,32,129,1,8,22,0
9/2/2017,19:25:24,2084000,Run,90009,tracker,5651,6.54444,41.91,417,0,0,0,34,142,1,1,27,6
9/3/2017,19:34:51,921000,Walk,90013,auto_detected,1150,0,0,95,0,3,9,4,84,11,5,0,0
9/3/2017,20:00:03,1271000,Run,90009,tracker,3496,5.12796,15.24,289,0,0,0,20,162,0,1,1,19
9/4/2017,10:34:56,1280000,Walk,90013,auto_detected,1904,0,15.24,143,1,2,6,12,85,16,3,0,0
9/4/2017,19:24:52,2048000,Walk,90013,auto_detected,3301,0,30.48,236,1,1,11,21,88,18,16,0,0
9/5/2017,9:10:53,1229000,Walk,90013,auto_detected,2132,0,9.144,145,0,1,2,17,87,17,4,0,0
9/5/2017,21:35:52,1023000,Walk,90013,auto_detected,1738,0,3.048,174,0,0,1,16,139,0,2,2,7
9/6/2017,20:39:59,1382000,Walk,90013,auto_detected,2432,0,21.336,215,0,3,2,19,117,3,4,4,4
9/7/2017,16:07:21,920000,Walk,90013,auto_detected,1069,0,21.336,91,1,14,0,0,89,9,6,0,0
9/8/2017,12:40:26,1126000,Walk,90013,auto_detected,2005,0,6.096,159,0,1,1,17,105,4,9,2,0
9/9/2017,19:19:20,1383000,Walk,90013,auto_detected,1621,0,30.48,156,4,6,1,12,89,8,12,0,0
9/9/2017,22:49:17,1435000,Walk,90013,auto_detected,1784,0,3.048,137,1,6,9,7,80,13,6,0,0
9/10/2017,10:26:29,1535000,Walk,90013,auto_detected,1987,0,12.192,153,4,11,1,9,83,15,9,0,0
9/11/2017,7:29:25,1126000,Walk,90013,auto_detected,1715,0,15.24,120,1,2,4,11,81,17,2,0,0
9/13/2017,8:48:47,1178000,Walk,90013,auto_detected,1856,0,18.288,143,0,1,4,14,91,9,8,0,0
9/14/2017,7:52:03,1127000,Walk,90013,auto_detected,1597,0,18.288,122,2,2,2,12,87,13,5,0,0
9/14/2017,14:51:03,973000,Walk,90013,auto_detected,1440,0,13.004,128,1,0,4,11,85,9,2,0,1
9/15/2017,8:05:18,1740000,Walk,90013,auto_detected,2788,0,21.336,203,1,2,9,17,84,21,8,0,0
9/15/2017,22:18:37,1178000,Walk,90013,auto_detected,2018,0,6.096,144,0,1,3,15,88,13,7,0,0
9/16/2017,10:24:49,1740000,Walk,90013,auto_detected,2365,0,21.336,198,2,4,8,15,91,12,11,0,1
9/19/2017,22:25:28,1229000,Walk,90013,auto_detected,2046,0,15.24,157,1,0,3,16,98,4,7,0,0
9/20/2017,15:55:58,1024000,Walk,90013,auto_detected,1223,0,6.096,99,3,14,0,0,84,15,3,0,0
9/22/2017,18:50:23,1988000,Run,90009,tracker,5378,6.06618,48.209,396,0,0,0,33,139,0,1,31,0
9/23/2017,8:45:30,2150000,Walk,90013,auto_detected,3293,0,21.336,259,3,12,2,18,87,13,9,0,0
9/23/2017,11:52:22,2837000,Run,90009,tracker,7483,8.441219,52.933,569,1,0,0,44,148,1,1,29,15
9/23/2017,15:29:07,1331000,Walk,90013,auto_detected,1263,0,0,131,0,13,6,3,93,5,16,0,0
9/27/2017,14:56:44,1075000,Walk,90013,auto_detected,1586,0,6.096,118,0,7,0,11,82,12,4,0,0
9/28/2017,15:27:02,1024000,Walk,90013,auto_detected,1579,0,6.096,115,1,1,2,13,88,9,8,0,0
9/29/2017,8:30:12,1074000,Walk,90013,auto_detected,1791,0,0,202,0,1,1,15,152,3,0,2,9
9/29/2017,14:33:25,922000,Walk,90013,auto_detected,1362,0,6.096,106,0,2,3,10,94,6,9,0,0
9/30/2017,8:48:15,1126000,Walk,90013,auto_detected,1596,0,15.24,135,0,18,0,0,90,10,6,2,0
9/30/2017,12:09:38,9984000,Walk,90013,auto_detected,14040,0,307.848,1153,8,33,24,101,86,109,37,6,0
9/30/2017,15:01:09,1280000,Walk,90013,auto_detected,1937,0,3.048,167,1,2,0,18,101,2,9,3,0
9/30/2017,16:37:35,1536000,Walk,90013,auto_detected,2160,0,0,168,0,4,6,15,86,19,7,0,0
10/1/2017,12:21:10,5172000,Walk,90013,auto_detected,5768,0,0,508,10,32,8,36,84,48,27,2,0
10/3/2017,19:14:12,1792000,Walk,90013,auto_detected,2257,0,39.624,199,1,9,5,14,82,23,6,0,0
10/3/2017,23:19:57,1787000,Walk,90013,auto_detected,2334,0,3.048,171,0,13,11,5,81,24,4,0,0
10/5/2017,18:37:24,1075000,Walk,90013,auto_detected,1752,0,0,136,0,1,0,17,104,0,18,0,0
10/9/2017,10:55:51,7936000,Walk,90013,auto_detected,10638,0,341.376,860,6,62,13,51,95,54,76,0,0
10/10/2017,11:27:42,5446000,Hike,90012,tracker,6519,4.46707,188.976,730,2,9,11,68,116,7,65,19,0
10/10/2017,13:16:01,4309000,Hike,90012,tracker,5477,3.71722,187.452,626,0,0,4,65,122,0,50,19,0
10/10/2017,15:18:13,7886000,Hike,90012,tracker,11592,7.9415,185.014,1144,0,1,12,118,121,0,96,34,0
10/12/2017,7:22:06,1178000,Walk,90013,auto_detected,1247,0,6.096,100,3,16,0,0,86,9,2,0,0
10/12/2017,9:20:43,973000,Walk,90013,auto_detected,1328,0,18.288,118,0,3,2,11,98,3,10,0,0
10/13/2017,12:26:20,3533000,Walk,90013,auto_detected,4812,0,91.44,343,1,23,16,18,88,38,21,0,0
10/13/2017,13:53:22,2766000,Walk,90013,auto_detected,4147,0,243.84,357,0,9,7,30,96,20,25,0,0
10/14/2017,8:32:58,1587000,Walk,90013,auto_detected,2352,0,9.144,173,0,4,5,17,92,11,16,0,0
10/15/2017,18:11:03,1740000,Walk,90013,auto_detected,2965,0,18.288,209,2,0,4,23,89,17,10,0,0
10/17/2017,8:30:12,1076000,Walk,90013,auto_detected,1640,0,15.24,141,0,0,3,15,110,0,18,0,0
10/21/2017,18:01:08,2166000,Run,90009,tracker,5760,6.465203,46.33,460,0,0,0,36,147,0,0,25,10
10/21/2017,19:50:14,1179000,Walk,90013,auto_detected,2015,0,21.336,166,0,1,1,17,114,0,18,0,0
10/21/2017,21:39:28,1078000,Walk,90013,auto_detected,1608,0,3.048,136,0,0,2,15,106,1,17,0,0
10/22/2017,15:56:03,1075000,Walk,90013,auto_detected,1749,0,3.048,140,0,0,1,16,111,0,17,0,0
10/25/2017,19:08:15,3840000,Walk,90013,auto_detected,5241,0,3.048,460,5,5,14,40,104,14,50,0,0
10/26/2017,18:28:43,921000,Walk,90013,auto_detected,1421,0,15.24,115,0,1,2,12,106,1,15,0,0
10/27/2017,7:29:39,1228000,Walk,90013,auto_detected,1747,0,6.096,164,0,1,5,15,109,0,20,1,0
