Date,StartTime,Duration,Activity,ActivityType,LogType,Steps,Distance,ElevationGain,Calories,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,AverageHeartRate,OutOfRangeHeartRateMinutes,FatBurnHeartRateMinutes,CardioHeartRateMinutes,PeakHeartRateMinutes
2/14/2017,20:06:32,1177000,Walk,90013,auto_detected,2062,0,6.096,147,0,1,4,15,88,13,7,0,0
2/16/2017,21:57:29,1331000,Walk,90013,auto_detected,2010,0,14.224,181,3,9,1,9,99,7,9,0,4
2/18/2017,16:38:05,542000,Run,90009,tracker,1458,1.659929,21.946,113,0,0,0,9,138,1,1,8,0
2/18/2017,16:49:06,1195000,Treadmill,20049,tracker,3105,3.44433,3.353,268,0,0,0,20,152,0,2,7,11
2/18/2017,17:15:40,1207000,Weights,2131,tracker,295,0,9.754,196,0,0,0,20,129,0,7,13,0
2/18/2017,17:40:10,586000,Run,90009,tracker,1574,1.687549,15.85,121,0,0,0,9,152,0,0,3,6
2/19/2017,8:59:41,1435000,Walk,90013,auto_detected,2414,0,18.288,215,0,2,5,16,91,5,3,2,4
2/19/2017,9:22:56,1547000,Treadmill,20049,tracker,3516,3.7797,3.962,296,0,0,2,23,137,0,5,18,2
2/19/2017,9:49:14,1587000,Weights,2131,tracker,469,0,8.23,188,0,1,7,18,111,1,25,0,0
2/19/2017,10:18:11,1691000,Walk,90013,auto_detected,2494,0,18.288,202,1,3,3,21,99,7,21,0,0
2/20/2017,18:33:29,1714000,Treadmill,20049,tracker,4610,5.32442,4.267,374,0,0,0,29,147,0,0,28,1
2/20/2017,20:21:58,1688000,Walk,90013,auto_detected,2635,0,21.336,231,0,4,4,20,96,6,11,1,2
2/21/2017,18:03:15,2851000,Run,90009,tracker,7705,8.867089,53.645,648,0,0,0,47,153,0,1,24,23
2/22/2017,18:46:24,922000,Walk,90013,auto_detected,1297,0,0,104,0,2,3,10,94,6,8,0,0
2/23/2017,21:01:36,1536000,Walk,90013,auto_detected,2215,0,0,167,0,7,4,14,82,21,4,0,0
2/25/2017,9:08:17,1025000,Walk,90013,auto_detected,1591,0,18.288,140,0,2,2,13,104,2,8,0,1
2/26/2017,8:52:30,1127000,Walk,90013,auto_detected,1889,0,15.24,189,0,1,2,16,127,1,11,1,5
2/27/2017,22:09:07,922000,Walk,90013,auto_detected,1377,0,6.096,115,0,2,1,12,103,3,12,0,0
3/1/2017,7:54:57,1178000,Walk,90013,auto_detected,1608,0,15.24,125,3,16,0,0,87,12,7,0,0
3/2/2017,18:09:48,1228000,Walk,90013,auto_detected,2116,0,9.144,171,0,1,0,19,100,7,7,2,0
3/4/2017,10:10:14,1280000,Walk,90013,auto_detected,1951,0,15.24,161,0,4,1,16,87,13,8,0,0
3/4/2017,13:00:09,11000,Run,90009,tracker,0,0,0,0,0,0,0,0,95,0,0,0,0
3/4/2017,13:00:35,2825000,Run,90009,tracker,7724,8.545609,71.018,649,0,0,0,47,153,0,1,30,17
3/5/2017,10:13:14,1075000,Walk,90013,auto_detected,1611,0,18.288,143,0,3,2,13,105,2,10,1,0
3/5/2017,17:08:27,2079000,Run,90009,tracker,5668,6.54775,67.666,466,0,0,0,35,149,0,1,28,6
3/6/2017,18:30:19,1792000,Walk,90013,auto_detected,3117,0,42.672,269,0,3,2,25,105,5,10,2,3
3/6/2017,21:45:43,1280000,Walk,90013,auto_detected,2126,0,9.144,178,0,1,1,19,98,9,10,2,1
3/7/2017,7:16:46,1932000,Treadmill,20049,tracker,4936,5.34422,5.791,412,0,0,0,32,149,3,1,14,13
