SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
2/9/2017 12:00:00 AM,1,441,473
2/10/2017 12:00:00 AM,1,469,515
2/11/2017 12:00:00 AM,1,485,506
2/12/2017 12:00:00 AM,1,419,465
2/13/2017 12:00:00 AM,1,407,457
2/14/2017 12:00:00 AM,1,497,509
2/15/2017 12:00:00 AM,1,509,547
2/16/2017 12:00:00 AM,1,488,522
2/17/2017 12:00:00 AM,1,461,482
2/18/2017 12:00:00 AM,1,425,471
2/19/2017 12:00:00 AM,1,493,527
2/20/2017 12:00:00 AM,1,482,529
2/21/2017 12:00:00 AM,1,508,548
2/22/2017 12:00:00 AM,1,284,326
2/23/2017 12:00:00 AM,1,463,486
2/24/2017 12:00:00 AM,1,427,467
2/25/2017 12:00:00 AM,1,469,514
2/26/2017 12:00:00 AM,1,423,475
2/27/2017 12:00:00 AM,1,414,469
2/28/2017 12:00:00 AM,1,495,534
3/1/2017 12:00:00 AM,1,410,451
3/2/2017 12:00:00 AM,1,461,530
3/3/2017 12:00:00 AM,1,528,574
3/4/2017 12:00:00 AM,1,508,560
3/5/2017 12:00:00 AM,1,455,494
3/6/2017 12:00:00 AM,1,420,467
3/7/2017 12:00:00 AM,1,434,487
3/8/2017 12:00:00 AM,1,443,473
3/8/2017 12:00:00 AM,1,443,473
3/9/2017 12:00:00 AM,1,429,488
3/10/2017 12:00:00 AM,1,418,458
3/11/2017 12:00:00 AM,1,399,437
3/12/2017 12:00:00 AM,1,490,530
3/13/2017 12:00:00 AM,1,417,433
3/14/2017 12:00:00 AM,1,439,466
3/15/2017 12:00:00 AM,1,428,480
3/16/2017 12:00:00 AM,1,430,492
3/17/2017 12:00:00 AM,1,609,629
3/18/2017 12:00:00 AM,1,428,480
3/19/2017 12:00:00 AM,1,501,538
3/20/2017 12:00:00 AM,1,427,477
3/21/2017 12:00:00 AM,1,558,589
3/22/2017 12:00:00 AM,1,385,428
3/23/2017 12:00:00 AM,1,461,516
3/24/2017 12:00:00 AM,1,376,415
3/25/2017 12:00:00 AM,1,501,515
3/26/2017 12:00:00 AM,2,375,416
3/27/2017 12:00:00 AM,1,446,475
3/28/2017 12:00:00 AM,1,451,480
3/29/2017 12:00:00 AM,1,445,506
3/30/2017 12:00:00 AM,1,426,472
